Merge Sorted Array — given two sorted int arrays `nums1` (length m+n with last n slots reserved as 0) and `nums2` (length n), merge nums2 into nums1 in-place sorted. Example: nums1=[1,2,3,0,0,0], m=3, nums2=[2,5,6], n=3 → [1,2,2,3,5,6].	PATTERN: Two pointers, fill from the END. | INSIGHT: Filling from the back avoids overwriting unprocessed nums1 elements. | STEPS: 1) i=m-1, j=n-1, k=m+n-1. 2) While j>=0: if i>=0 and nums1[i]>nums2[j]: nums1[k]=nums1[i]; i-=1; else nums1[k]=nums2[j]; j-=1; k-=1. | TIME/SPACE: O(m+n) / O(1). | PITFALL: No need to copy remaining nums1 — they're already in place.	array-string easy
Remove Element — given array `nums` and value `val`, remove all occurrences of val in-place; return new length k (order may change; first k entries are the kept elements). Example: nums=[3,2,2,3], val=3 → 2, nums starts with [2,2,...].	PATTERN: Two pointers (write index). | INSIGHT: Walk with read pointer; copy non-val to write pointer. | STEPS: 1) k=0. 2) For n in nums: if n!=val: nums[k]=n; k+=1. 3) Return k. | TIME/SPACE: O(n) / O(1). | PITFALL: Order doesn't matter — swap-with-end is faster when val is rare.	array-string easy
Remove Duplicates from Sorted Array — given sorted `nums`, remove duplicates in-place so each element appears once; return new length k. Example: nums=[1,1,2] → 2, nums starts with [1,2,...].	PATTERN: Two pointers (slow write / fast read). | INSIGHT: Slow points to last unique; fast scans; copy on new value. | STEPS: 1) If empty return 0. 2) k=1. 3) For i in 1..n-1: if nums[i]!=nums[i-1]: nums[k]=nums[i]; k+=1. 4) Return k. | TIME/SPACE: O(n) / O(1). | PITFALL: Compare to nums[i-1] (read pos), not nums[k-1] — both work but i-1 is the cleanest.	array-string easy
Remove Duplicates from Sorted Array II — sorted `nums`; each element may appear at most TWICE in-place; return new length. Example: nums=[1,1,1,2,2,3] → 5, nums starts with [1,1,2,2,3].	PATTERN: Two-pointer with k>=2 generalization. | INSIGHT: Allow nums[i] when k<2 OR nums[i]!=nums[k-2]. | STEPS: 1) k=0. 2) For n in nums: if k<2 or n!=nums[k-2]: nums[k]=n; k+=1. 3) Return k. | TIME/SPACE: O(n) / O(1). | PITFALL: Compare to nums[k-2], not nums[i-2]. Generalizes to "at most K dupes".	array-string medium
Majority Element — given int array of size n, return the element appearing more than ⌊n/2⌋ times. Assume one exists. Example: [3,2,3] → 3; [2,2,1,1,1,2,2] → 2.	PATTERN: Boyer–Moore voting. | INSIGHT: Pair up different elements; majority always survives the cancellation. | STEPS: 1) cand=None, count=0. 2) For n in nums: if count==0: cand=n; count += 1 if n==cand else -1. 3) Return cand. | TIME/SPACE: O(n) / O(1). | PITFALL: Hashmap works but uses O(n) space — Boyer–Moore is the elegant answer.	array-string easy
Rotate Array — rotate `nums` to the right by k steps in-place. Example: [1,2,3,4,5,6,7], k=3 → [5,6,7,1,2,3,4].	PATTERN: Three reverses. | INSIGHT: Reverse all; reverse first k; reverse rest. | STEPS: 1) k %= n. 2) reverse(0, n-1). 3) reverse(0, k-1). 4) reverse(k, n-1). | TIME/SPACE: O(n) / O(1). | PITFALL: Modulo k first — k can exceed n.	array-string medium
Best Time to Buy and Sell Stock — array `prices`; buy once, sell once on a later day. Return max profit (0 if none). Example: [7,1,5,3,6,4] → 5 (buy day 2, sell day 5).	PATTERN: Single-pass min tracker. | INSIGHT: At each day, best profit = price - min seen so far. | STEPS: 1) min_p=inf, ans=0. 2) For p in prices: min_p=min(min_p,p); ans=max(ans, p-min_p). 3) Return ans. | TIME/SPACE: O(n) / O(1). | PITFALL: Don't search min and max independently — order matters.	array-string easy
Best Time to Buy and Sell Stock II — array `prices`; can buy/sell multiple times (one share at a time, must sell before re-buying). Return max profit. Example: [7,1,5,3,6,4] → 7 (buy 1 sell 5; buy 3 sell 6).	PATTERN: Greedy — sum positive deltas. | INSIGHT: Capturing every up-move = optimal; equivalent to holding through long runs. | STEPS: 1) ans=0. 2) For i in 1..n-1: if prices[i]>prices[i-1]: ans += prices[i]-prices[i-1]. 3) Return ans. | TIME/SPACE: O(n) / O(1). | PITFALL: Not "find best buy/sell pairs" — just sum the green candles.	array-string medium
Jump Game — array `nums` where nums[i] = max jump length from i; starting at index 0, return True if you can reach the last index. Example: [2,3,1,1,4] → True; [3,2,1,0,4] → False.	PATTERN: Greedy reachability. | INSIGHT: Track furthest index reachable; if i exceeds it, fail. | STEPS: 1) reach=0. 2) For i,n in enumerate(nums): if i>reach: return False; reach=max(reach, i+n). 3) Return True. | TIME/SPACE: O(n) / O(1). | PITFALL: Early-exit when reach>=n-1 for speed.	array-string medium
Jump Game II — same setup; return MIN number of jumps to reach the last index. Assume reachable. Example: [2,3,1,1,4] → 2.	PATTERN: BFS-style greedy with current-jump end tracking. | INSIGHT: Track end of current jump's reach; when i passes it, must jump (jumps+=1, end=farthest). | STEPS: 1) jumps=0, end=0, farthest=0. 2) For i in 0..n-2: farthest=max(farthest, i+nums[i]); if i==end: jumps+=1; end=farthest. 3) Return jumps. | TIME/SPACE: O(n) / O(1). | PITFALL: Iterate to n-2 (not n-1) — being on the last index needs no further jump.	array-string medium
