Maximum Depth of Binary Tree — return max depth of a binary tree (longest root-to-leaf path length, in nodes). Example: [3,9,20,null,null,15,7] → 3.	PATTERN: Recursive DFS. | INSIGHT: depth(node) = 1 + max(depth(left), depth(right)); base = 0. | STEPS: 1) If not node: return 0. 2) Return 1+max(depth(node.left), depth(node.right)). | TIME/SPACE: O(n) / O(h) recursion stack. | PITFALL: Iterative BFS works too if you want to avoid the stack.	binary-tree easy
Same Tree — given roots p and q, return True if both trees are structurally identical with the same node values. Example: p=[1,2,3], q=[1,2,3] → True; p=[1,2], q=[1,null,2] → False.	PATTERN: Recursive structural compare. | INSIGHT: Both null → True; one null → False; same val AND same children. | STEPS: 1) If not p and not q: True. 2) If not p or not q: False. 3) Return p.val==q.val and same(p.left,q.left) and same(p.right,q.right). | TIME/SPACE: O(n) / O(h). | PITFALL: Order of base cases matters — handle both-null first.	binary-tree easy
Invert Binary Tree — swap left and right children of every node; return new root. Example: [4,2,7,1,3,6,9] → [4,7,2,9,6,3,1].	PATTERN: Recursive swap. | INSIGHT: Recurse first, then swap children of current. | STEPS: 1) If not node: return None. 2) left=invert(node.left); right=invert(node.right); node.left=right; node.right=left. 3) Return node. | TIME/SPACE: O(n) / O(h). | PITFALL: Famous "homework problem" — trivially writeable as a 1-line tuple swap.	binary-tree easy
Symmetric Tree — return True if a tree is a mirror of itself (symmetric around its center). Example: [1,2,2,3,4,4,3] → True; [1,2,2,null,3,null,3] → False.	PATTERN: Mirror-pair recursion on (left, right) subtree pairs. | INSIGHT: A tree is symmetric iff its left subtree is a mirror of its right subtree. | STEPS: helper(a,b): 1) If not a and not b: True. 2) If not a or not b or a.val!=b.val: False. 3) Return helper(a.left, b.right) and helper(a.right, b.left). 4) Call helper(root.left, root.right). | TIME/SPACE: O(n) / O(h). | PITFALL: Compare left.left to right.right (mirror axes), not left.left to right.left.	binary-tree easy
Construct Binary Tree from Preorder and Inorder Traversal — given the preorder and inorder traversal arrays of a tree (unique values), construct and return the tree. Example: preorder=[3,9,20,15,7], inorder=[9,3,15,20,7] → [3,9,20,null,null,15,7].	PATTERN: Recursive split + hashmap of inorder indices. | INSIGHT: First of preorder is the root; its index in inorder splits left/right subtrees. Build LEFT first (preorder consumes left subtree before right). | STEPS: 1) idx_map={v:i for i,v in enumerate(inorder)}. 2) preorder_iter=iter(preorder). 3) build(l,r): if l>r: None. v=next(preorder_iter); node=TreeNode(v); m=idx_map[v]; node.left=build(l,m-1); node.right=build(m+1,r); return node. 4) Return build(0,n-1). | TIME/SPACE: O(n) / O(n). | PITFALL: Order of recursive calls matters — left subtree built before right.	binary-tree medium
Construct Binary Tree from Inorder and Postorder Traversal — same but with postorder (last element is root). Example: inorder=[9,3,15,20,7], postorder=[9,15,7,20,3] → [3,9,20,null,null,15,7].	PATTERN: Recursive split + hashmap, consume postorder from END. | INSIGHT: Last of postorder is the root; build RIGHT subtree first (reverse postorder pulls right subtree first). | STEPS: 1) idx_map={v:i for i,v in enumerate(inorder)}. 2) build(l,r): if l>r: None. v=postorder.pop(); node=TreeNode(v); m=idx_map[v]; node.right=build(m+1,r); node.left=build(l,m-1); return node. 3) Return build(0,n-1). | TIME/SPACE: O(n) / O(n). | PITFALL: RIGHT subtree built first — opposite of the preorder version.	binary-tree medium
Populating Next Right Pointers in Each Node II — tree where each node has a `next` pointer (initially None); set each node's next to the next node to its right at the same level (None if last). Tree may NOT be perfect. Example: connects all nodes left-to-right per level.	PATTERN: Level-order using already-built next pointers (O(1) extra space). | INSIGHT: Walk the previous level via the next pointers you already wired; build the current level via a dummy head. | STEPS: 1) cur=root. 2) While cur: dummy=Node(); tail=dummy. 3) While cur: if cur.left: tail.next=cur.left; tail=tail.next. if cur.right: tail.next=cur.right; tail=tail.next. cur=cur.next. 4) cur=dummy.next. | TIME/SPACE: O(n) / O(1) extra. | PITFALL: Dummy head removes the first-child special case.	binary-tree medium
Flatten Binary Tree to Linked List — flatten a binary tree in-place into a right-skewed linked list following preorder. Example: [1,2,5,3,4,null,6] → 1→2→3→4→5→6 (each via .right; .left = None).	PATTERN: Reverse-postorder recursion with a prev pointer. | INSIGHT: Process right, then left, then current; set node.right=prev; node.left=None; prev=node. | STEPS: 1) prev=[None]. 2) def helper(node): if not node: return; helper(node.right); helper(node.left); node.right=prev[0]; node.left=None; prev[0]=node. 3) helper(root). | TIME/SPACE: O(n) / O(h). | PITFALL: O(1)-space iterative variant uses Morris-like rewiring.	binary-tree medium
Path Sum — given root and target sum, return True if some root-to-leaf path's values sum to targetSum. Example: target=22, [5,4,8,11,null,13,4,7,2,null,null,null,1] → True.	PATTERN: DFS with running remainder. | INSIGHT: Subtract node val; at a leaf, check whether the remainder equals 0. | STEPS: 1) If not node: False. 2) If not node.left and not node.right: return target==node.val. 3) Return hasPath(left, target-node.val) or hasPath(right, target-node.val). | TIME/SPACE: O(n) / O(h). | PITFALL: Must reach an actual LEAF — None is not a leaf, so a node with one None child still needs to recurse.	binary-tree easy
Sum Root to Leaf Numbers — each root-to-leaf path forms a number by concatenating digits; return sum of all such numbers. Example: [1,2,3] → 12+13=25; [4,9,0,5,1] → 495+491+40=1026.	PATTERN: DFS with accumulator. | INSIGHT: Pass cur=cur*10+node.val down; at a leaf, add cur to total. | STEPS: helper(node, cur): 1) If not node: return 0. 2) cur=cur*10+node.val. 3) If leaf: return cur. 4) Return helper(left,cur)+helper(right,cur). Call helper(root, 0). | TIME/SPACE: O(n) / O(h). | PITFALL: The leaf check is essential — don't sum at internal nodes.	binary-tree medium
Binary Tree Maximum Path Sum — find the max sum of any non-empty path between any two nodes (a path may pass through a parent and bend, but visits each node at most once). Example: [-10,9,20,null,null,15,7] → 42 (15→20→7).	PATTERN: Postorder recursion with global max + return-only-one-child gain. | INSIGHT: At each node, the max path THROUGH it = node.val + max(0,left_gain) + max(0,right_gain); but the gain RETURNED to the parent must use only one child (else not a simple path). | STEPS: 1) ans=[-inf]. 2) gain(node): if not node: 0. l=max(0, gain(left)); r=max(0, gain(right)). ans[0]=max(ans[0], node.val+l+r). return node.val+max(l,r). 3) gain(root); return ans[0]. | TIME/SPACE: O(n) / O(h). | PITFALL: max(0, ...) on each child drops negative branches; the through-node sum can use both, but the returned gain uses only one.	binary-tree hard
Binary Search Tree Iterator — design iterator over BST in-order with next() and hasNext(); next() should be O(1) average and use O(h) memory. Example: BST [7,3,15,null,null,9,20] → next() returns 3,7,9,15,20.	PATTERN: Stack-based iterative inorder (controlled recursion). | INSIGHT: The stack stores the path of left descents from the current position. | STEPS: __init__: stack=[]; _push_left(root). _push_left(node): while node: stack.append(node); node=node.left. next(): node=stack.pop(); _push_left(node.right); return node.val. hasNext(): bool(stack). | TIME/SPACE: O(1) avg next / O(h). | PITFALL: This is the standard "iterative inorder" pattern — memorize it.	binary-tree medium
Count Complete Tree Nodes — given a complete binary tree, count nodes in O((log n)²) instead of O(n). Example: [1,2,3,4,5,6] → 6.	PATTERN: Compare leftmost and rightmost depth at each subtree. | INSIGHT: If left depth == right depth, the subtree is perfect → 2^d - 1 nodes. Otherwise recurse on both children. | STEPS: count(node): if not node: 0. ld = walk node.left.left.left... depth. rd = walk node.right.right.right... depth. If ld==rd: return (1<<(ld+1))-1. Return 1+count(left)+count(right). | TIME/SPACE: O((log n)²) / O(log n). | PITFALL: At each level you fall through one perfect subtree (O(log n) work) and recurse on the other.	binary-tree easy
Lowest Common Ancestor of a Binary Tree — given root and two distinct nodes p and q (NOT a BST), return their LCA. Example: [3,5,1,6,2,0,8,null,null,7,4], p=5, q=1 → 3.	PATTERN: Recursive search returning matching node. | INSIGHT: If current is p or q, return current. Recurse both children; if both return non-null, current is the LCA. Else return whichever non-null. | STEPS: lca(node): 1) If not node or node==p or node==q: return node. 2) l=lca(left); r=lca(right). 3) If l and r: return node. 4) Return l or r. | TIME/SPACE: O(n) / O(h). | PITFALL: Works because returning a non-null node means p or q (or their LCA) lives in that subtree.	binary-tree medium
