Linked List Cycle — given linked list `head`, return True if it contains a cycle. Example: 3→2→0→-4→(back to 2) → True; 1→2 → False.	PATTERN: Floyd's tortoise and hare. | INSIGHT: Slow moves 1 step, fast moves 2; if a cycle exists they meet inside it; otherwise fast hits None. | STEPS: 1) slow=fast=head. 2) While fast and fast.next: slow=slow.next; fast=fast.next.next; if slow==fast: return True. 3) Return False. | TIME/SPACE: O(n) / O(1). | PITFALL: Hashset of visited nodes works too but uses O(n) space — Floyd's is the elegant answer.	linked-list easy
Add Two Numbers — two non-empty linked lists representing non-negative ints with digits in REVERSE order; return their sum as a linked list. Example: 2→4→3 (=342) plus 5→6→4 (=465) → 7→0→8 (=807).	PATTERN: Linked-list digit addition with carry. | INSIGHT: Walk both lists with a carry variable; create a digit node each iteration. | STEPS: 1) dummy=ListNode(); cur=dummy; carry=0. 2) While l1 or l2 or carry: a=l1.val if l1 else 0; b=l2.val if l2 else 0; s=a+b+carry; carry=s//10; cur.next=ListNode(s%10); cur=cur.next; advance l1/l2 if not None. 3) Return dummy.next. | TIME/SPACE: O(max(m,n)) / O(max(m,n)). | PITFALL: Don't forget the final carry node when carry!=0 after both lists end.	linked-list medium
Merge Two Sorted Lists — given two sorted linked lists, merge them into one sorted list. Example: 1→2→4 and 1→3→4 → 1→1→2→3→4→4.	PATTERN: Two pointers + dummy head. | INSIGHT: Walk both, attach the smaller; attach leftover at the end. | STEPS: 1) dummy=ListNode(); cur=dummy. 2) While l1 and l2: if l1.val<=l2.val: cur.next=l1; l1=l1.next; else cur.next=l2; l2=l2.next; cur=cur.next. 3) cur.next = l1 or l2. 4) Return dummy.next. | TIME/SPACE: O(m+n) / O(1). | PITFALL: Dummy head eliminates first-node special-casing.	linked-list easy
Copy List with Random Pointer — linked list nodes have val, next, and a random pointer (which can point to any node or None); return a deep copy. Example: each node copied with its random pointer pointing to the corresponding cloned node.	PATTERN: Hashmap orig→clone (or interleaving trick for O(1) extra). | INSIGHT: Two passes — first create clones into a hashmap; second wire next/random using the map. | STEPS: 1) m={}. 2) cur=head; while cur: m[cur]=Node(cur.val); cur=cur.next. 3) cur=head; while cur: m[cur].next=m.get(cur.next); m[cur].random=m.get(cur.random); cur=cur.next. 4) Return m.get(head). | TIME/SPACE: O(n) / O(n). | PITFALL: Single-pass fails because random may point to a not-yet-created node.	linked-list medium
Reverse Linked List II — reverse nodes from position `left` to `right` (1-indexed) and return modified head. Example: 1→2→3→4→5, left=2, right=4 → 1→4→3→2→5.	PATTERN: Iterative in-place reverse with dummy head. | INSIGHT: Find the node BEFORE position left; iteratively move 'next of current' to the front of the sublist. | STEPS: 1) dummy=ListNode(0,head); prev=dummy. 2) For _ in range(left-1): prev=prev.next. 3) cur=prev.next. 4) For _ in range(right-left): nxt=cur.next; cur.next=nxt.next; nxt.next=prev.next; prev.next=nxt. 5) Return dummy.next. | TIME/SPACE: O(n) / O(1). | PITFALL: Off-by-one — prev sits at position (left-1) from dummy.	linked-list medium
Reverse Nodes in k-Group — given linked list, reverse nodes in groups of k; if last group has fewer than k nodes, leave it as-is. Example: 1→2→3→4→5, k=2 → 2→1→4→3→5; k=3 → 3→2→1→4→5.	PATTERN: Iterative reverse + group-head bookkeeping. | INSIGHT: For each group, count k nodes ahead; if found, reverse, then connect prev/next of group. | STEPS: 1) dummy=ListNode(0,head); group_prev=dummy. 2) Loop: kth=group_prev; for _ in range(k): kth=kth.next; if not kth: return dummy.next. group_next=kth.next. 3) Reverse the sublist group_prev.next..kth in place. 4) Reattach: tmp=group_prev.next; group_prev.next=kth; tmp.next=group_next; group_prev=tmp. | TIME/SPACE: O(n) / O(1). | PITFALL: After the reverse, the OLD head of the group is the NEW group_prev for the next iteration.	linked-list hard
Remove Nth Node From End of List — remove the nth node from end of list and return head. Example: 1→2→3→4→5, n=2 → 1→2→3→5.	PATTERN: Two pointers with offset n+1. | INSIGHT: Move fast n+1 steps ahead, then move both until fast is None; slow lands on the node BEFORE the target. | STEPS: 1) dummy=ListNode(0,head); slow=fast=dummy. 2) For _ in range(n+1): fast=fast.next. 3) While fast: slow=slow.next; fast=fast.next. 4) slow.next=slow.next.next. 5) Return dummy.next. | TIME/SPACE: O(n) / O(1). | PITFALL: Use a dummy head to handle the case where the head itself is removed.	linked-list medium
Remove Duplicates from Sorted List II — sorted list; delete ALL nodes that have any duplicates, leaving only nodes that appear once. Example: 1→2→3→3→4→4→5 → 1→2→5; 1→1→1→2→3 → 2→3.	PATTERN: Dummy head + look-ahead. | INSIGHT: Maintain prev; if cur and cur.next share a value, skip the entire run; else advance prev. | STEPS: 1) dummy=ListNode(0,head); prev=dummy; cur=head. 2) While cur: if cur.next and cur.val==cur.next.val: while cur.next and cur.val==cur.next.val: cur=cur.next; prev.next=cur.next. else prev=prev.next. cur=cur.next. 3) Return dummy.next. | TIME/SPACE: O(n) / O(1). | PITFALL: Don't advance prev when skipping a duplicate run.	linked-list medium
Rotate List — given list `head` and integer k, rotate the list to the right by k places. Example: 1→2→3→4→5, k=2 → 4→5→1→2→3.	PATTERN: Find length; make it circular; break at the new tail. | INSIGHT: k %= length; new_tail is (length-k-1) steps from head; new_head is its next. | STEPS: 1) If not head: return head. 2) Walk to find length and tail. 3) tail.next=head (circular). 4) k%=length; new_tail=head; for _ in range(length-k-1): new_tail=new_tail.next. 5) new_head=new_tail.next; new_tail.next=None. 6) Return new_head. | TIME/SPACE: O(n) / O(1). | PITFALL: k can be larger than length — modulo first.	linked-list medium
Partition List — given list and integer x, partition so all nodes with val < x come BEFORE nodes with val ≥ x; preserve relative order within each partition. Example: 1→4→3→2→5→2, x=3 → 1→2→2→4→3→5.	PATTERN: Two dummy heads (less-than list and ≥ list). | INSIGHT: Build two sublists during one pass; concatenate at the end. | STEPS: 1) less=ListNode(); ge=ListNode(); l=less; g=ge. 2) While head: if head.val<x: l.next=head; l=l.next; else g.next=head; g=g.next; head=head.next. 3) g.next=None; l.next=ge.next. 4) Return less.next. | TIME/SPACE: O(n) / O(1). | PITFALL: Set g.next=None to terminate the merged list — otherwise you trail garbage.	linked-list medium
